Unnamed: 0,Ground Name,City,District,Province,Ground Type,Pitch,Length,Width,Lights,Parking,Washrooms,Pavilion,Scoreboard,Rooms,Parking Cap.,Price (LKR),Rating
1.0,Ambalangoda Esplanade,Ambalangoda,Galle,Southern,Public,turf,137.0,149.0,Yes,Yes,Yes,Yes,Yes,2.0,288.0,162417.0,5.0
2.0,Ambalangoda High School Ground,Ambalangoda,Galle,Southern,School,matting,100.0,104.0,No,Yes,Yes,Yes,No,2.0,27.0,26760.0,3.0
3.0,Ambalangoda Oval,Ambalangoda,Galle,Southern,Public,turf,135.0,134.0,Yes,Yes,Yes,Yes,Yes,2.0,268.0,147946.0,4.0
4.0,Ambalangoda Playground,Ambalangoda,Galle,Southern,Public,matting,112.0,105.0,No,Yes,Yes,No,Yes,1.0,26.0,7371.0,2.0
5.0,Ambalangoda Public Ground,Ambalangoda,Galle,Southern,Public,matting,121.0,106.0,No,Yes,Yes,No,Yes,1.0,29.0,11911.0,3.0
6.0,Ambalangoda Sports Club Ground,Ambalangoda,Galle,Southern,Club,turf,146.0,148.0,Yes,Yes,Yes,Yes,Yes,2.0,132.0,169204.0,5.0
7.0,Ambalangoda Urban Council Ground,Ambalangoda,Galle,Southern,Public,matting,127.0,116.0,No,Yes,Yes,No,Yes,1.0,24.0,12608.0,3.0
8.0,Ambepussa Army Ground,Ambepussa,Kegalle,Sabaragamuwa,Public,matting,124.0,109.0,No,Yes,Yes,No,Yes,1.0,48.0,15554.0,3.0
9.0,Ambepussa District Ground,Ambepussa,Kegalle,Sabaragamuwa,Public,matting,126.0,117.0,No,Yes,Yes,No,Yes,1.0,15.0,11865.0,3.0
10.0,Ambepussa Esplanade,Ambepussa,Kegalle,Sabaragamuwa,Public,matting,100.0,111.0,No,Yes,Yes,No,Yes,1.0,29.0,19796.0,2.0
11.0,Ambepussa Playground,Ambepussa,Kegalle,Sabaragamuwa,Public,matting,101.0,107.0,No,Yes,Yes,No,Yes,1.0,34.0,12516.0,3.0
12.0,Ambepussa Sports Club Ground,Ambepussa,Kegalle,Sabaragamuwa,Club,matting,121.0,102.0,No,Yes,Yes,Yes,Yes,2.0,64.0,33978.0,3.0
13.0,Ambepussa Urban Council Ground,Ambepussa,Kegalle,Sabaragamuwa,Public,matting,105.0,90.0,No,Yes,Yes,No,Yes,1.0,21.0,10727.0,2.0
14.0,Ampara Athletic Ground,Ampara,Ampara,Eastern,Private,cement,84.0,83.0,No,Yes,Yes,No,Yes,0.0,33.0,4021.0,1.0
15.0,Ampara Central College Ground,Ampara,Ampara,Eastern,School,matting,127.0,93.0,No,Yes,Yes,Yes,No,2.0,70.0,41050.0,3.0
16.0,Ampara College Ground,Ampara,Ampara,Eastern,School,matting,121.0,105.0,Yes,Yes,Yes,Yes,Yes,2.0,25.0,17094.0,3.0
17.0,Ampara Cricket Club Ground,Ampara,Ampara,Eastern,Club,turf,130.0,138.0,Yes,Yes,Yes,Yes,Yes,2.0,123.0,138083.0,4.0
18.0,Ampara District Ground,Ampara,Ampara,Eastern,Public,matting,116.0,106.0,No,Yes,Yes,No,Yes,1.0,15.0,8036.0,3.0
19.0,Ampara Esplanade,Ampara,Ampara,Eastern,Public,turf,134.0,149.0,Yes,Yes,Yes,Yes,Yes,2.0,148.0,117973.0,4.0
20.0,Ampara High School Ground,Ampara,Ampara,Eastern,School,matting,114.0,108.0,No,Yes,Yes,Yes,No,2.0,37.0,47112.0,3.0
21.0,Ampara Municipal Ground,Ampara,Ampara,Eastern,Public,matting,108.0,99.0,No,Yes,Yes,No,Yes,1.0,17.0,7972.0,2.0
22.0,Ampara Public Ground,Ampara,Ampara,Eastern,Public,matting,109.0,113.0,No,Yes,Yes,No,Yes,1.0,14.0,17192.0,3.0
23.0,Ampara Sports Club Ground,Ampara,Ampara,Eastern,Club,matting,127.0,95.0,Yes,Yes,Yes,Yes,Yes,2.0,71.0,35054.0,4.0
24.0,Ampara Stadium,Ampara,Ampara,Eastern,Public,turf,148.0,141.0,Yes,Yes,Yes,Yes,Yes,2.0,277.0,167785.0,5.0
