team_name,ground_name,matches_played,wins
Royal College XI,Colombo Sinhalese Sports Club Ground,10.0,7.0
Royal College XI,Colombo Nondescripts Cricket Club Ground,8.0,5.0
Royal College XI,Colombo Colts Cricket Club Ground,7.0,4.0
Royal College XI,Colombo City Cricket Park,6.0,3.0
Royal College XI,Colombo P Sara Oval,6.0,3.0
St. Joseph's College XI,Colombo Sinhalese Sports Club Ground,10.0,7.0
St. Joseph's College XI,Colombo Nondescripts Cricket Club Ground,8.0,4.0
St. Joseph's College XI,Colombo City Cricket Park,7.0,3.0
St. Joseph's College XI,Colombo Colts Cricket Club Ground,6.0,2.0
St. Joseph's College XI,Colombo P Sara Oval,7.0,3.0
Colombo CC,Colombo Sinhalese Sports Club Ground,12.0,9.0
Colombo CC,Colombo Nondescripts Cricket Club Ground,10.0,7.0
Colombo CC,Colombo Colts Cricket Club Ground,9.0,6.0
Colombo CC,Colombo P Sara Oval,8.0,5.0
Colombo CC,Panadura Municipal Cricket Ground,7.0,3.0
Sinhalese SC,Colombo Sinhalese Sports Club Ground,15.0,12.0
Sinhalese SC,Colombo Nondescripts Cricket Club Ground,12.0,8.0
Sinhalese SC,Colombo Colts Cricket Club Ground,10.0,7.0
Sinhalese SC,Colombo P Sara Oval,9.0,6.0
NCC Club,Colombo Nondescripts Cricket Club Ground,14.0,11.0
NCC Club,Colombo Sinhalese Sports Club Ground,10.0,6.0
NCC Club,Colombo Colts Cricket Club Ground,9.0,5.0
NCC Club,Colombo P Sara Oval,9.0,5.0
NCC Club,Colombo Bloomfield Cricket & Athletic Club Ground,8.0,4.0
Moors Sports Club,Colombo Moors Sports Club Ground,12.0,9.0
Moors Sports Club,Colombo Sinhalese Sports Club Ground,8.0,4.0
Moors Sports Club,Colombo Colts Cricket Club Ground,7.0,3.0
Moors Sports Club,Colombo City Cricket Park,8.0,5.0
Tamil Union C&AC,Colombo P Sara Oval,14.0,10.0
Tamil Union C&AC,Colombo Sinhalese Sports Club Ground,9.0,4.0
Tamil Union C&AC,Colombo Nondescripts Cricket Club Ground,8.0,3.0
Tamil Union C&AC,Colombo Colts Cricket Club Ground,7.0,3.0
Ananda College XI,Colombo Ananda College Ground,10.0,8.0
Ananda College XI,Colombo Sinhalese Sports Club Ground,9.0,5.0
Ananda College XI,Colombo Nondescripts Cricket Club Ground,7.0,3.0
Ananda College XI,Colombo Colts Cricket Club Ground,8.0,4.0
Nalanda College XI,Colombo Nalanda College Ground,10.0,7.0
Nalanda College XI,Colombo Sinhalese Sports Club Ground,8.0,4.0
Nalanda College XI,Colombo Nondescripts Cricket Club Ground,7.0,3.0
Nalanda College XI,Colombo Colts Cricket Club Ground,9.0,5.0
Piliyandala CC,Piliyandala Public Ground,10.0,7.0
Piliyandala CC,Piliyandala Central College Ground,8.0,5.0
Piliyandala CC,Piliyandala Sports Complex,6.0,4.0
Piliyandala CC,Colombo City Cricket Park,5.0,2.0
Piliyandala CC,Moratuwa Urban Council Ground,4.0,2.0
Moratuwa SC,Moratuwa Urban Council Ground,10.0,7.0
Moratuwa SC,Panadura Municipal Cricket Ground,7.0,3.0
Moratuwa SC,Kalutara Municipal Sports Ground,8.0,4.0
Moratuwa SC,Colombo Sinhalese Sports Club Ground,6.0,3.0
asdgkg,Colombo Sinhalese Sports Club Ground,1.0,0.0
Piliyandala CC,Colombo Sinhalese Sports Club Ground,1.0,1.0
Piliyandala CC,Badulla Central College Ground,1.0,1.0
Team B,Badulla Central College Ground,1.0,0.0
